K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 854231  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…1월,"1,000,815",0,"604,222",0,"1,468,361",0,"505,631",0
…2월,"1,856,093",0,"1,153,373",0,"2,720,459",0,"954,645",0
…3월,"2,838,153",0,"1,781,616",0,"4,083,508",0,"1,457,291",0
…4월,"3,698,786",0,"2,355,561",0,"5,338,629",0,"1,938,743",0
…5월,"4,570,868",0,"2,953,434",0,"6,541,962",0,"2,373,884",0
…6월,"5,478,018",0,"3,578,709",0,"7,730,113",0,"2,807,124",0
…7월,"6,447,785",0,"4,176,672",0,"8,958,680",0,"3,275,076",0
…8월,"7,448,050",0,"4,806,946",0,"10,255,732",0,"3,749,909",0
…9월,"8,390,211",0,"5,418,275",0,"11,345,858",0,"4,206,424",0
…10월,"9,434,078",0,"6,079,300",0,"12,801,816",0,"4,746,973",0
…11월,"10,638,047",0,"6,760,269",0,"14,252,201",0,"5,259,508",0
…12월,"11,671,869",0,"7,383,861",0,"15,529,167",0,"5,730,654",0
