K-stat 무역통계 - 한국무역협회,,,,,,,,
"품목 : HSK 271019  ,  당월/누계 : 누계  ,  단위 : 금액 - 천불, 중량 - Kg, 증감률 - %",,,,,,,,
년월,수출,수출,수출,수출,수입,수입,수입,수입
년월,금액,증감률,중량,증감률,금액,증감률,중량,증감률
…7월,"24,673,940",6.5,"25,686,088,169",4.4,"2,824,797",41.3,"3,353,788,603",26.3
…8월,"28,362,989",4.5,"29,554,048,558",2.8,"3,277,141",49.4,"3,914,784,722",36.8
…9월,"32,495,605",7.2,"33,750,309,223",5.2,"3,758,141",59.6,"4,495,184,298",49.6
…10월,"36,528,502",9.1,"37,984,103,578",7.3,"4,107,487",59.3,"4,890,613,395",50.9
…11월,"40,201,222",8.9,"41,903,496,547",7.6,"4,600,363",63.8,"5,547,056,685",59
…12월,"43,536,414",7.8,"45,501,177,438",6.8,"5,146,332",64.8,"6,304,854,991",63.3
2011년,"40,390,404",66.9,"42,622,193,896",20.2,"3,121,854",34.5,"3,861,649,096",-3.5
…1월,"2,374,739",60.2,"2,945,403,806",27.6,"351,580",19.6,"579,554,305",5.6
…2월,"4,897,009",64.8,"5,851,715,786",25.1,"645,173",17.9,"1,007,823,756",0.3
…3월,"8,314,636",82.1,"9,513,526,702",34.8,"941,176",24.6,"1,401,691,460",3
…4월,"12,358,240",86.2,"13,540,138,121",35.9,"1,233,980",31.6,"1,757,860,994",5.1
…5월,"15,999,706",87,"17,267,398,221",35.5,"1,488,190",25.3,"2,049,165,328",-3.5
…6월,"19,370,893",79.9,"20,723,004,911",28.5,"1,755,309",30.9,"2,375,665,655",-0.4
…7월,"23,164,560",80.1,"24,594,769,039",27.6,"1,999,195",27.7,"2,655,565,508",-5.3
…8월,"27,129,156",81.2,"28,760,483,525",28.1,"2,193,811",23.2,"2,860,804,070",-10.6
…9월,"30,322,208",77.1,"32,095,017,703",25.1,"2,354,649",23.4,"3,005,747,430",-11.7
…10월,"33,482,209",71.2,"35,405,725,473",21.3,"2,578,484",22.5,"3,240,198,279",-13.3
…11월,"36,912,710",69.3,"38,940,686,337",20.7,"2,809,245",27.1,"3,489,140,851",-9.9
…12월,"40,390,404",66.9,"42,622,193,896",20.2,"3,121,854",34.5,"3,861,649,096",-3.5
2010년,"24,205,653",36.7,"35,473,884,112",5.3,"2,321,236",35.3,"4,003,302,610",-0.6
…1월,"1,482,051",27.5,"2,308,062,313",-11.2,"294,047",121,"548,756,494",49.6
…2월,"2,971,581",28,"4,677,874,600",-15.2,"547,436",88.1,"1,004,477,657",23.7
…3월,"4,564,740",28.9,"7,058,198,022",-18,"755,383",58.5,"1,360,318,411",-2.2
…4월,"6,637,030",39.4,"9,966,381,578",-12.6,"937,815",36,"1,672,390,178",-16.8
…5월,"8,555,756",46.3,"12,743,369,140",-6.7,"1,188,141",37.7,"2,123,098,990",-13.3
…6월,"10,767,160",44.4,"16,123,136,310",-2.5,"1,340,615",37.2,"2,384,675,894",-11.2
…7월,"12,859,133",40.3,"19,277,946,454",-1.5,"1,565,719",41.9,"2,803,006,382",-4.1
…8월,"14,975,097",37.4,"22,456,001,540",0,"1,781,138",47.7,"3,198,225,358",3.1
…9월,"17,120,506",36.7,"25,655,288,178",1.4,"1,907,616",40,"3,403,741,417",-0.4
…10월,"19,560,177",36.9,"29,181,514,197",3.2,"2,105,075",39.6,"3,737,978,788",1.5
…11월,"21,797,476",36,"32,263,834,463",3.9,"2,210,921",39.5,"3,870,654,945",1.8
…12월,"24,205,653",36.7,"35,473,884,112",5.3,"2,321,236",35.3,"4,003,302,610",-0.6
2009년,"17,702,222",-43.9,"33,695,465,323",-5.9,"1,715,204",9.5,"4,026,140,812",95.2
…1월,"1,162,292",-34.1,"2,600,341,530",9.8,"133,054",-1,"366,770,165",74.3
…2월,"2,321,842",-37.6,"5,516,010,358",13.1,"290,998",21.3,"811,999,275",115.7
…3월,"3,540,554",-42.4,"8,610,185,841",13.5,"476,624",52.4,"1,390,312,633",194.2
…4월,"4,762,346",-45.2,"11,408,724,466",11.7,"689,366",43.3,"2,011,146,086",180.8
…5월,"5,846,768",-50.8,"13,655,924,813",4.4,"863,017",34.6,"2,449,057,470",171.9
…6월,"7,455,356",-51.3,"16,529,683,656",3,"976,973",37.7,"2,686,186,818",177.1
…7월,"9,168,216",-52.6,"19,573,957,222",1.2,"1,103,507",23,"2,921,497,046",150
…8월,"10,898,852",-52,"22,452,205,558",-0.8,"1,205,641",10.4,"3,103,221,117",120.8
…9월,"12,528,227",-52,"25,291,866,593",-3.8,"1,362,994",7.6,"3,416,845,049",114.2
…10월,"14,286,942",-49.9,"28,275,884,404",-5.4,"1,507,947",10.3,"3,683,621,891",116.8
…11월,"16,027,122",-47,"31,064,022,563",-5.7,"1,585,221",7.2,"3,800,516,305",98.6
…12월,"17,702,222",-43.9,"33,695,465,323",-5.9,"1,715,204",9.5,"4,026,140,812",95.2
2008년,"31,543,032",59,"35,827,090,892",11.2,"1,566,817",66,"2,062,677,455",13.1
…1월,"1,763,640",85.2,"2,367,446,477",22,"134,359",31.4,"210,469,612",-15.6
…2월,"3,723,087",67.9,"4,876,418,381",11.7,"239,899",23,"376,456,061",-19.4
…3월,"6,149,038",68.2,"7,584,217,103",8.6,"312,802",8.3,"472,605,118",-31.5
…4월,"8,696,476",69.1,"10,215,008,292",6.6,"481,146",22.4,"716,112,833",-19.5
…5월,"11,885,642",83.6,"13,077,019,902",10.3,"641,158",36.9,"900,793,736",-13.4
…6월,"15,313,970",92.1,"16,045,846,468",10.8,"709,709",37.1,"969,537,402",-13.4
…7월,"19,360,973",98.6,"19,341,660,419",11.7,"896,917",49.1,"1,168,479,174",-7.8
…8월,"22,723,666",96,"22,623,654,777",11.3,"1,092,293",59.2,"1,405,420,372",-1.9
…9월,"26,078,189",95.6,"26,286,534,933",14.2,"1,266,247",71.7,"1,594,855,785",5.4
…10월,"28,525,384",87,"29,902,618,378",15.4,"1,367,389",70.9,"1,699,461,430",5.9
…11월,"30,237,471",72.2,"32,932,740,473",13.2,"1,478,151",68.4,"1,913,491,506",10.2
…12월,"31,543,032",59,"35,827,090,892",11.2,"1,566,817",66,"2,062,677,455",13.1
2007년,"19,843,552",18.7,"32,208,394,071",3.1,"943,823",-12.4,"1,824,293,351",-17.9
…1월,"952,136",-4.4,"1,940,277,715",-7.5,"102,223",-8.8,"249,366,178",-9.9
…2월,"2,216,813",16,"4,366,173,904",11.1,"194,974",-7,"467,092,745",-7.8
…3월,"3,655,396",23.6,"6,986,365,167",17.1,"288,908",-11.1,"689,894,056",-10.2
…4월,"5,143,012",18.6,"9,583,613,017",13.2,"393,035",-6.5,"889,031,291",-5.2
…5월,"6,474,053",12.7,"11,853,826,878",8.5,"468,317",-11.7,"1,039,905,991",-9.9
…6월,"7,969,940",12.6,"14,485,731,744",8.8,"517,608",-20,"1,118,940,420",-18.9
…7월,"9,747,311",8.6,"17,318,264,217",5,"601,630",-20.4,"1,266,813,337",-19.5
